Gene Symbol
RPA1
RPA2
RPA3
HIST4H4
HIST2H4B
HIST1H4I
HIST1H4A
HIST1H4D
HIST1H4F
HIST1H4K
HIST1H4J
HIST1H4C
HIST1H4H
HIST1H4B
HIST1H4E
HIST1H4L
HIST2H4A
HIST3H3
RFC2
RFC3
RFC4
RFC5
PCNA
POLD1
POLD3
POLD2
POLD4
RFC1
POLE3
POLE
POLE2
POLE4
FEN1
DNA2
MRE11
RAD50
NBN
ATM
BLM
RAD51
RAD51C
BRCA2
ATR
WRN
EXO1
HUS1
PARP1
XRCC1
RAD51D
XRCC3
RTEL1
SLX1A
SLX1B
SLX4
AC016586.1
ERCC1
ERCC4
PRKDC
XRCC6
XRCC5
RIF1
DCLRE1C
POT1
AL096870.1
TERF2IP
ACD
TERF1
TERF2
APEX1
PNKP
USP7
DCLRE1B
DCLRE1A
POLA1
POLA2
PRIM1
PRIM2
TERT
WRAP53
DKC1
NHP2
HIST1H3A
HIST1H3D
HIST1H3E
HIST1H3I
HIST1H3G
HIST1H3J
HIST1H3H
HIST1H3F
H3F3A
H3F3B
CCNE1
CCNE2
MAPK3
MAPK1
HSP90AA1
HSP90AB1
SRC
MYC
AURKB
HDAC8
NEK7
RPA4
NEK2
MAPKAPK5
MAP2K7
PTGES3
CTNNB1
PML
PRKCQ
TNKS1BP1
NABP2
DOT1L
TNKS2
TNKS
HNRNPC
SP100
SMC5
NSMCE2
SMC6
TCP1
CCT2
CCT8
CCT4
CCT5
CCT3
CCT7
CCT6A
FBXO4
HNRNPA2B1
GAR1
NAT10
NOP10
GNL3
EXOSC10
DCP2
XRN1
PARN
UPF1
SMG1
SMG6
SMG5
SMG7
HNRNPA1
HNRNPD
TFIP11
HNRNPU
DHX36
TEN1
PARP3
HUS1B
ZSCAN4
LTO1
MAPK15
ZNF365
ZBTB48
MAP3K4
SMARCAL1
GNL3L
ATRX
PINX1
PPP1R10
PKIB
TENT4B
TEP1
TERC
HMBOX1
STN1
PIF1
CTC1
HIST1H3C
HIST1H3B
NAF1
RECQL4
TELO2
